Assembly	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..unaligned.contigs	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..predicted.genes..unique.	X..predicted.genes.....0.bp.	X..predicted.genes.....300.bp.	X..predicted.genes.....1500.bp.	X..predicted.genes.....3000.bp.	Largest.alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	gid	refLength	refMapping	group	assemblerGroup	X..genes	cov
Minia3 k21-k241	24	20	17	17	15	4254210	4245791	4226636	4226636	4168993	24	748505	4254210	4107985	65,61	65,68	364859	364859	165307	306117	4	4	8	7	6	4	832210	2	0 + 0 part	0	99,827	1,037	0	3,66	0,05	4059	4214	3787	532	44	748135	306117	337524	146472	146472	5	4	9	9	1049005	4107985	1346963	uniq	3	8102 + 75 part	49,18334658
Minia3 k21-k241	71	20	12	5	0	436571	321412	270626	185435	0	213	49808	531539	3268305	35,31	35,77	10408	NA	2145	NA	12	NA	44	NA	1	1	11022	0	0 + 0 part	0	16,044	1,014	0	176,02	0,57	648	648	497	57	6	49802	8096	0	2145	NA	12	NA	45	NA	1049056	3268305	1639674	strain	3	530 + 324 part	75,25341117
Minia3 k21-k241	267	177	111	27	2	3084788	2824206	2334125	957277	142442	288	85219	3100318	3125442	68,25	68,22	19067	19067	10069	9982	55	55	111	112	4	3	49390	1	0 + 0 part	0	99,08	1,001	0	7,04	0	3185	3186	2851	374	23	85219	19067	19067	10069	9849	55	55	111	113	1049089	3125442	150629	uniq	3	5608 + 581 part	7,229169506
Minia3 k21-k241	1329	198	38	8	3	4453570	1933182	888338	479719	330362	2033	135431	4983358	5192961	67,02	66,83	3749	3520	1841	1673	327	356	807	896	17	15	146160	1	0 + 1 part	35	87,814	1,093	0	29,45	0,48	6531	6536	5092	402	27	135431	3644	3418	1810	1641	336	366	827	918	1052944	5192961	257982	strain	3	4564 + 1881 part	7,451875722
Minia3 k21-k241	580	34	18	7	2	1507792	638186	522626	345382	193342	2126	129074	2625072	4767709	66,76	67,04	1185	631	769	NA	400	1710	1112	NA	8	7	41008	1	0 + 4 part	56763	51,054	1,055	0	43,38	0,66	4316	4322	2999	121	11	129074	1113	608	745	NA	458	1814	1198	NA	1052947	4767709	753707	strain	3	1538 + 2768 part	23,71286712
Minia3 k21-k241	39	24	14	4	0	424395	383765	311474	126500	0	46	35786	430242	5190212	65,02	66,83	22487	NA	9174	NA	8	NA	16	NA	10	8	109926	2	0 + 3 part	5983	8,117	1,008	0	12,82	0,47	514	514	382	47	0	35182	22487	0	7989	NA	8	NA	17	NA	1053058	5190212	1025896	strain	3	548 + 87 part	29,64896232
Minia3 k21-k241	52	37	34	29	25	7258501	7219510	7200383	7127995	6997270	57	1363086	7261919	7278430	65,87	65,87	318240	318240	199867	199867	7	7	13	13	0	0	0	7	0 + 0 part	0	99,684	1,001	0	3,21	0,04	6351	6358	5882	1191	152	1363071	318240	318240	199867	199867	7	7	13	13	1139_AG	7278430	6047605	uniq	3	9249 + 57 part	124,6341244
Minia3 k21-k241	41	33	32	28	24	3461455	3445972	3440176	3363521	3204790	46	506223	3464612	3480877	73,31	73,29	137417	137417	78437	78437	7	7	15	15	2	2	226454	4	0 + 0 part	0	99,5	1	0	4,04	0,12	3225	3227	2948	450	48	506031	137417	137417	78437	78437	7	7	15	15	1220_AD	3480877	5653969	uniq	3	5995 + 90 part	243,6441592
Minia3 k21-k241	0	0	0	0	0	0	0	0	0	0	2	532	1042	3571513	64,2	66,69	532	NA	510	NA	1	NA	2	NA	0	0	0	0	0 + 0 part	0	0,029	1	0	0	0	3	3	1	0	0	532	532	0	510	NA	1	NA	2	NA	1220_AJ	3571513	17327	uniq	3	0 + 6 part	0,727716797
Minia3 k21-k241	20	18	17	15	14	4561306	4556412	4546834	4502386	4466182	24	1085911	4564054	4566645	68,93	68,92	526104	526104	351348	351348	4	4	6	6	0	0	0	0	0 + 0 part	0	99,923	1	0	5,92	0,09	4215	4215	3895	565	65	1085911	526104	526104	351348	351348	4	4	6	6	1285_BH	4566645	557585	uniq	3	6671 + 24 part	18,31492266
Minia3 k21-k241	6	0	0	0	0	9119	0	0	0	0	32	2027	26319	2975898	46,4	46,71	825	NA	613	NA	11	NA	20	NA	2	1	1138	1	0 + 0 part	0	0,882	1,007	0	281,93	0	48	48	32	0	0	2027	795	0	597	NA	11	NA	21	NA	1286_AP	2975898	120657	strain	3	9 + 44 part	6,081710462
Minia3 k21-k241	27	0	0	0	0	31303	0	0	0	0	803	1772	520937	7207331	66,37	65,81	632	NA	554	NA	334	NA	555	NA	2	2	1564	0	0 + 0 part	0	7,222	1,001	0	41,5	0	1113	1113	781	0	0	1772	632	0	553	NA	335	NA	556	NA	1365_A	7207331	98969	uniq	3	81 + 1339 part	2,059756934
Minia3 k21-k241	1	0	0	0	0	2417	0	0	0	0	1	2417	2417	1103	61,32	61,2	2417	2417	2417	2417	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,191	0	0	0	1	2	2	0	0	2417	2417	2417	2417	2417	1	1	1	1	Sample15_97	1103	484	circular_elem	3	0 + 0 part	65,82048957
Minia3 k21-k241	1	1	1	1	0	26005	26005	26005	26005	0	1	26005	26005	12897	52,4	52,5	26005	26005	26005	26005	1	1	1	1	1	1	26005	0	0 + 0 part	0	100	2,016	0	0	0	13	25	22	4	0	22835	22835	22835	22835	22835	1	1	1	1	Sample16_19	12897	2423	circular_elem	3	0 + 0 part	28,18097232
Minia3 k21-k241	1	1	0	0	0	7051	7051	0	0	0	1	7051	7051	3420	45,5	45,82	7051	7051	7051	7051	1	1	1	1	1	1	7051	0	0 + 0 part	0	100	2,062	0	0	0	7	11	6	0	0	4964	4964	4964	2087	4964	1	1	2	1	Sample18_57	3420	22197	circular_elem	3	0 + 0 part	973,5526316
Minia3 k21-k241	1	1	1	0	0	16851	16851	16851	0	0	1	16851	16851	8320	40,24	40,34	16851	16851	16851	16851	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,025	0	0	0	11	19	16	0	0	16851	16851	16851	16851	16851	1	1	1	1	Sample18_8	8320	13686	circular_elem	3	0 + 0 part	246,7427885
Minia3 k21-k241	1	1	1	0	0	20125	20125	20125	0	0	1	20125	20125	9957	50,64	50,7	20125	20125	20125	20125	1	1	1	1	1	1	20125	0	0 + 0 part	0	100	2,021	0	0	0	14	25	21	4	0	12546	12546	12546	7579	12546	1	1	2	1	Sample19_20	9957	83975	circular_elem	3	0 + 0 part	1265,064779
Minia3 k21-k241	1	1	1	0	0	10129	10129	10129	0	0	1	10129	10129	4959	35,32	35,27	10129	10129	10129	10129	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,043	0	0	0	7	11	11	1	0	10129	10129	10129	10129	10129	1	1	1	1	Sample19_52	4959	4513	circular_elem	3	0 + 0 part	136,5093769
Minia3 k21-k241	1	1	1	0	0	10011	10011	10011	0	0	1	10011	10011	4900	40,05	40,43	10011	10011	10011	10011	1	1	1	1	1	1	10011	0	0 + 0 part	0	100	2,043	0	0	0	6	11	6	2	0	8408	8408	8408	8408	8408	1	1	1	1	Sample19_56	4900	1223	circular_elem	3	0 + 0 part	37,43877551
Minia3 k21-k241	1	1	0	0	0	5653	5653	0	0	0	1	5653	5653	2721	45,8	45,9	5653	5653	5653	5653	1	1	1	1	1	1	5653	0	0 + 0 part	0	100	2,078	0	0	0	7	11	3	0	0	3204	3204	3204	2449	3204	1	1	2	1	Sample22_283	2721	509	circular_elem	3	0 + 0 part	28,05953693
Minia3 k21-k241	1	1	1	0	0	12771	12771	12771	0	0	1	12771	12771	6280	44,51	44,41	12771	12771	12771	12771	1	1	1	1	1	1	12771	0	0 + 0 part	0	100	2,034	0	0	0	11	21	16	2	0	8530	8530	8530	4241	8530	1	1	2	1	Sample22_57	6280	9216	circular_elem	3	0 + 0 part	220,1273885
Minia3 k21-k241	1	1	1	0	0	10683	10683	10683	0	0	1	10683	10683	5236	38,51	38,54	10683	10683	10683	10683	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,04	0	0	0	10	17	11	1	0	10683	10683	10683	10683	10683	1	1	1	1	Sample22_89	5236	24162	circular_elem	3	0 + 0 part	692,1886937
Minia3 k21-k241	1	0	0	0	0	1949	0	0	0	0	1	1949	1949	1739	46,59	46,64	1949	1949	1949	1949	1	1	1	1	0	0	0	0	0 + 0 part	0	100	1,121	0	0	0	1	1	1	0	0	1949	1949	1949	1949	1949	1	1	1	1	Sample23_271	1739	266073	circular_elem	3	0 + 0 part	22950,51754
Minia3 k21-k241	1	0	0	0	0	3679	0	0	0	0	1	3679	3679	1734	40,39	40,43	3679	3679	3679	3679	1	1	1	1	1	1	3679	0	0 + 0 part	0	100	2,122	0	0	0	4	5	2	0	0	2177	2177	2177	1502	2177	1	1	2	1	Sample23_273	1734	614	circular_elem	3	0 + 0 part	53,11418685
Minia3 k21-k241	1	0	0	0	0	3543	0	0	0	0	1	3543	3543	1666	46,51	46,88	3543	3543	3543	3543	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,127	0	0	0	4	5	4	0	0	3543	3543	3543	3543	3543	1	1	1	1	Sample23_288	1666	5165	circular_elem	3	0 + 0 part	465,0360144
Minia3 k21-k241	1	0	0	0	0	4935	0	0	0	0	1	4935	4935	2362	61,34	61,47	4935	4935	4935	4935	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,089	0	0	0	4	7	4	0	0	4935	4935	4935	4935	4935	1	1	1	1	Sample6_289	2362	715	circular_elem	3	0 + 0 part	45,40643522
Minia3 k21-k241	1	0	0	0	0	3567	0	0	0	0	1	3567	3567	1678	39,08	39,21	3567	3567	3567	3567	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,126	0	0	0	3	3	3	0	0	3567	3567	3567	3567	3567	1	1	1	1	Sample6_476	1678	74	circular_elem	3	0 + 0 part	6,615017878
Minia3 k21-k241	1	1	1	0	0	10781	10781	10781	0	0	1	10781	10781	5285	46,4	46,36	10781	10781	10781	10781	1	1	1	1	1	1	10781	0	0 + 0 part	0	100	2,04	0	0	0	8	13	10	2	0	7202	7202	7202	3579	7202	1	1	2	1	Sample6_49	5285	5584	circular_elem	3	0 + 0 part	158,4862819
Minia3 k21-k241	1	0	0	0	0	3311	0	0	0	0	1	3311	3311	1550	53,58	54,06	3311	3311	3311	3311	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,136	0	0	0	3	3	3	1	0	3311	3311	3311	3311	3311	1	1	1	1	Sample6_527	1550	13458	circular_elem	3	0 + 0 part	1302,387097
Minia3 k21-k241	1	0	0	0	0	2631	0	0	0	0	1	2631	2631	1210	58,42	58,26	2631	2631	2631	2631	1	1	1	1	1	1	2631	0	0 + 0 part	0	100	2,174	0	0	0	3	3	2	0	0	2187	2187	2187	2187	2187	1	1	1	1	Sample6_722	1210	530	circular_elem	3	0 + 0 part	65,70247934
Minia3 k21-k241	1	1	1	0	0	11299	11299	11299	0	0	1	11299	11299	5544	48,93	48,88	11299	11299	11299	11299	1	1	1	1	0	0	0	0	0 + 0 part	0	100	2,038	0	0	0	10	19	6	0	0	11299	11299	11299	11299	11299	1	1	1	1	Sample9_2	5544	2217	circular_elem	3	0 + 0 part	59,98376623
Minia3 k21-k241	1	0	0	0	0	4371	0	0	0	0	1	4371	4371	2080	53,56	53,61	4371	4371	4371	4371	1	1	1	1	1	1	4371	0	0 + 0 part	0	100	2,101	0	0	0	3	5	2	0	0	3323	3323	3323	3323	3323	1	1	1	1	Sample9_65	2080	274	circular_elem	3	0 + 0 part	19,75961538
Minia3 k21-k241	17	0	0	0	0	21597	0	0	0	0	264	2499	176330	2264253	31,21	30,86	630	NA	555	NA	105	NA	180	NA	0	0	0	0	0 + 0 part	0	7,729	1,008	0	24,57	0	424	424	189	0	0	2499	630	0	555	NA	105	NA	180	NA	evo_1035930.011	2264253	113983	strain	3	139 + 425 part	7,551033387
Minia3 k21-k241	267	118	58	9	0	1871100	1540472	1098875	284966	0	507	43145	2039121	2413510	30,88	30,86	11297	8963	5106	1417	51	70	116	218	8	8	69811	1	0 + 3 part	29171	81,424	1,023	0	22,95	0	2716	2725	1988	175	6	35386	11122	7919	4629	1231	54	74	124	247	evo_1035930.029	2413510	2005302	strain	3	3109 + 569 part	124,629813
Minia3 k21-k241	33	2	1	1	0	85364	36665	26821	26821	0	273	26821	243560	2296439	30,68	30,92	778	NA	615	NA	76	NA	166	NA	1	1	3841	0	0 + 0 part	0	10,262	1,034	0	119,24	0,42	484	486	311	4	0	26627	777	0	614	NA	77	NA	168	NA	evo_1035930.032	2296439	660938	strain	3	254 + 667 part	43,17149291
Minia3 k21-k241	670	37	2	0	0	1570577	244073	23918	0	0	1872	12609	2384978	3363445	35,89	35,83	1713	867	782	NA	374	790	920	NA	2	2	7720	0	0 + 0 part	0	66,002	1,075	0	86,98	0,14	4418	4426	2619	63	0	12609	1707	865	781	NA	376	793	923	NA	evo_1049056.011	3363445	3162133	strain	3	3085 + 2490 part	141,0220622
Minia3 k21-k241	141	4	1	0	0	258401	32826	13581	0	0	591	13581	560662	3524378	35,61	35,79	924	NA	660	NA	164	NA	347	NA	0	0	0	0	0 + 0 part	0	15,385	1,034	0	202,13	0,18	1101	1105	637	7	1	13581	924	0	660	NA	164	NA	347	NA	evo_1049056.013	3524378	670459	strain	3	513 + 1021 part	28,53520536
Minia3 k21-k241	92	0	0	0	0	144298	0	0	0	0	689	4829	549866	3374338	36,05	35,84	748	NA	637	NA	247	NA	447	NA	0	0	0	0	0 + 0 part	0	15,682	1,039	0	227,35	0,57	1163	1166	672	3	0	4829	748	0	637	NA	247	NA	447	NA	evo_1049056.015	3374338	1602347	strain	3	412 + 1117 part	71,22939374
Minia3 k21-k241	12	0	0	0	0	17366	0	0	0	0	170	4410	122155	3382970	35,66	35,84	687	NA	622	NA	69	NA	115	NA	1	1	4410	0	0 + 0 part	0	3,564	1,013	0	734,8	1,66	263	263	169	0	0	3186	687	0	615	NA	70	NA	117	NA	evo_1049056.031	3382970	149277	strain	3	31 + 220 part	6,618902917
Minia3 k21-k241	13	1	1	0	0	25575	11022	11022	0	0	216	11022	159024	3264668	35,46	35,82	683	NA	606	NA	82	NA	144	NA	1	1	11022	0	0 + 0 part	0	4,739	1,028	0	636,63	0	314	314	206	1	0	5630	682	0	605	NA	84	NA	146	NA	evo_1049056.039	3264668	21546	strain	3	71 + 449 part	0,989962838
Minia3 k21-k241	534	6	1	0	0	924426	46166	11320	0	0	1538	11320	1613598	3384405	46,77	46,7	1134	NA	746	NA	424	NA	867	NA	1	1	3002	0	0 + 1 part	13	46,196	1,032	0	31,08	0,06	2922	2922	1834	16	0	11320	1134	0	744	NA	424	NA	868	NA	evo_1286_AP.008	3384405	409851	strain	3	1656 + 2404 part	18,16498026
Minia3 k21-k241	1076	59	2	0	0	2524116	373448	22961	0	0	1860	12062	3080751	3211060	46,68	46,7	2279	2178	1236	1121	429	458	884	967	4	3	6117	1	0 + 0 part	0	87,247	1,1	0	65,61	0,18	4691	4705	3430	93	1	12062	2279	2178	1236	1121	429	458	884	968	evo_1286_AP.026	3211060	1469507	strain	3	3785 + 2341 part	68,64588329
Minia3 k21-k241	202	7	2	0	0	375815	56333	22665	0	0	1007	12519	914410	3098187	46,7	46,68	841	NA	639	NA	292	NA	608	NA	1	1	2539	0	0 + 0 part	0	28,282	1,044	0	97,12	0,23	1653	1653	1145	12	1	12519	840	0	639	NA	293	NA	609	NA	evo_1286_AP.033	3098187	689246	strain	3	659 + 1743 part	33,37012905
Minia3 k21-k241	86	3	1	1	0	166130	48435	36369	36369	0	644	36369	539392	3083256	46,75	46,67	767	NA	617	NA	206	NA	403	NA	2	2	4516	0	0 + 0 part	0	17,25	1,014	0	58,66	0,19	998	998	677	7	0	36369	766	0	616	NA	207	NA	405	NA	evo_1286_AP.037	3083256	501952	strain	3	350 + 1224 part	24,41989896
Velour k31 c20.01	752	388	207	35	2	6064014	5135556	3791111	1182824	110015	893	56613	6168212	6278004	66,53	66,49	13452	13235	7134	6866	146	150	304	316	3	3	78539	2	0 + 0 part	0	98,019	1,002	0	0	0	6475	6475	5687	640	48	56613	13262	12993	7134	6866	148	152	306	318	1030752	6278004	4133072	uniq	5	10157 + 1479 part	98,75125916
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1030755	4620491	336727	uniq	5	NA	10,93153303
Velour k31 c20.01	1	0	0	0	0	1363	0	0	0	0	2	1363	1981	4900391	42,96	41,31	1363	NA	618	NA	1	NA	2	NA	0	0	0	0	0 + 0 part	0	0,04	1	0	0	0	2	2	2	0	0	1363	1363	0	618	NA	1	NA	2	NA	1030836	4900391	579419	uniq	5	3 + 3 part	17,73590107
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1030878	3289345	117951	uniq	5	NA	5,378776018
Velour k31 c20.01	303	221	179	112	59	7127815	6935094	6629609	5490176	3670122	347	65535	7159657	7281938	53	53,04	50703	50345	25736	25235	58	59	108	111	1	1	18806	1	0 + 0 part	0	98,277	1	0	0	0	6160	6160	5416	917	131	65535	50703	50345	25736	25235	58	59	108	111	1035900	7281938	4418897	uniq	5	7915 + 343 part	91,02447041
Velour k31 c20.01	0	0	0	0	0	0	0	0	0	0	28	843	17005	2199979	29,44	30,96	592	NA	537	NA	13	NA	20	NA	1	1	578	0	0 + 0 part	0	0,773	1	0	0	0	39	39	23	0	0	843	592	0	536	NA	13	NA	20	NA	1035930	2199979	220904	strain	5	1 + 37 part	15,06178014
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1036539	4677460	349514	uniq	5	NA	11,20845502
Velour k31 c20.01	154	107	85	37	11	2603758	2481854	2330880	1558692	657314	169	65535	2615082	2659575	46,8	46,82	31372	30863	15853	15353	28	29	58	60	0	0	0	0	0 + 0 part	0	98,277	1,001	0	0	0	2444	2444	2183	364	40	65535	31372	30863	15853	15353	28	29	58	60	1036554	2659575	8168678	uniq	5	5565 + 295 part	460,7133471
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1036608	3184472	122192	uniq	5	NA	5,755679434
Velour k31 c20.01	0	0	0	0	0	0	0	0	0	0	1	577	577	2638923	32,93	27,72	577	NA	577	NA	1	NA	1	NA	0	0	0	0	0 + 0 part	0	0,022	1	0	0	0	1	1	1	0	0	577	577	0	577	NA	1	NA	1	NA	1036641	2638923	191369	uniq	5	0 + 1 part	10,87767623
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1036707	4060624	72323	uniq	5	NA	2,671621406
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1036728	2032530	37251	uniq	5	NA	2,749110714
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1036743	5216281	73921	uniq	5	NA	2,125681113
Velour k31 c20.01	36	0	0	0	0	44799	0	0	0	0	1076	2586	700748	6467702	54,97	54,95	628	NA	555	NA	447	NA	745	NA	2	2	2538	0	0 + 0 part	0	10,83	1,001	0	0,43	0	1380	1380	971	1	0	2586	628	0	554	NA	448	NA	747	NA	1036755	6467702	1342188	uniq	5	134 + 1577 part	31,12824308
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1048783	2431652	107568	uniq	5	NA	6,63548896
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1048993	3845825	41609	uniq	5	NA	1,622889757
Velour k31 c20.01	937	222	60	8	0	3747829	2053696	970733	248502	0	1241	42315	3967497	4107985	65,76	65,68	5180	4978	2611	2370	209	223	480	522	1	1	3656	0	0 + 0 part	0	96,137	1,005	0	0	0	4889	4889	4056	325	14	42315	5180	4978	2611	2370	209	223	480	522	1049005	4107985	1346963	uniq	5	6087 + 1997 part	49,18334658
Velour k31 c20.01	54	16	7	2	0	295096	211167	145246	74768	0	76	44041	309944	3268305	35,21	35,77	9250	NA	3972	NA	9	NA	21	NA	0	0	0	0	0 + 0 part	0	9,477	1,001	0	0	0	322	322	269	38	5	44041	9250	0	3972	NA	9	NA	21	NA	1049056	3268305	1639674	strain	5	359 + 135 part	75,25341117
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1049089	3125442	150629	uniq	5	NA	7,229169506
Velour k31 c20.01	1417	10	2	0	0	2289040	83297	26602	0	0	3361	14595	3668275	5192961	66,97	66,83	1195	876	817	NA	1001	1745	1928	NA	0	0	0	0	0 + 0 part	0	70,248	1,006	0	8,03	0,05	6365	6365	4501	86	1	14595	1195	876	817	NA	1001	1746	1928	NA	1052944	5192961	257982	strain	5	1828 + 4286 part	7,451875722
Velour k31 c20.01	22	1	0	0	0	42898	5811	0	0	0	134	5811	116580	4767709	65,87	67,04	826	NA	611	NA	39	NA	81	NA	0	0	0	0	0 + 2 part	237	2,438	1,001	0	70,54	0	217	217	156	4	0	5811	822	0	611	NA	40	NA	81	NA	1052947	4767709	753707	strain	5	41 + 257 part	23,71286712
Velour k31 c20.01	7	0	0	0	0	12324	0	0	0	0	12	2617	15465	5190212	66,82	66,83	1556	NA	1031	NA	4	NA	7	NA	1	1	1220	0	0 + 0 part	0	0,298	1,001	0	19,42	0	27	27	20	0	0	2617	1556	0	767	NA	4	NA	7	NA	1053058	5190212	1025896	strain	5	10 + 21 part	29,64896232
Velour k31 c20.01	1065	464	208	28	0	6942501	5391963	3576372	881613	0	1303	48898	7114913	7278430	65,94	65,87	10073	9797	5156	4824	207	215	454	478	0	0	0	0	0 + 0 part	0	97,493	1,003	0	0,03	0	7208	7208	6435	973	90	48898	10073	9797	5156	4824	207	215	454	478	1139_AG	7278430	6047605	uniq	5	7928 + 1331 part	124,6341244
Velour k31 c20.01	297	199	121	36	4	3407335	3164402	2602906	1290701	233804	326	64731	3427861	3480877	73,34	73,29	19133	18372	10247	9966	57	59	118	122	0	0	0	0	0 + 0 part	0	98,336	1,001	0	0,09	0	3354	3354	3020	412	43	64731	19133	18372	10247	9966	57	59	118	122	1220_AD	3480877	5653969	uniq	5	5587 + 448 part	243,6441592
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1220_AJ	3571513	17327	uniq	5	NA	0,727716797
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1285_BH	4566645	557585	uniq	5	NA	18,31492266
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1286_AP	2975898	120657	strain	5	NA	6,081710462
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1365_A	7207331	98969	uniq	5	NA	2,059756934
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample15_97	1103	484	circular_elem	5	NA	65,82048957
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample16_19	12897	2423	circular_elem	5	NA	28,18097232
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample18_57	3420	22197	circular_elem	5	NA	973,5526316
Velour k31 c20.01	1	1	0	0	0	8317	8317	0	0	0	1	8317	8317	8320	40,34	40,34	8317	8317	8317	8317	1	1	1	1	0	0	0	0	0 + 0 part	0	99,964	1	0	0	0	9	9	8	0	0	8317	8317	8317	8317	8317	1	1	1	1	Sample18_8	8320	13686	circular_elem	5	0 + 0 part	246,7427885
