"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"refLength"	"refMapping"	"group"	"assemblerGroup"	"assemblerRealName"	"cov"
"Gold_Standard_0"	1	0	0	0	0	2317	0	0	0	0	1	2317	2317	2317	46.91	46.91	2317	"2317"	2317	"2317"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"2"	"0"	"0"	2317	"2317"	2317	"2317"	"2317"	"1"	"1"	"1"	"1"	"Sample23_175"	2317	306	"circular_elem"	"1"	"Gold Standard"	19.8100992662926
"Gold_Standard_0"	1	0	0	0	0	4920	0	0	0	0	1	4920	4920	4920	46.46	46.46	4920	"4920"	4920	"4920"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"5"	"5"	"5"	"0"	"0"	4920	"4920"	4920	"4920"	"4920"	"1"	"1"	"1"	"1"	"Sample23_22"	4920	23303	"circular_elem"	"1"	"Gold Standard"	710.457317073171
"Gold_Standard_0"	1	0	0	0	0	4866	0	0	0	0	1	4866	4866	4866	46.9	46.9	4866	"4866"	4866	"4866"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"6"	"6"	"5"	"1"	"0"	4866	"4866"	4866	"4866"	"4866"	"1"	"1"	"1"	"1"	"Sample23_25"	4866	5502	"circular_elem"	"1"	"Gold Standard"	169.60542540074
"Gold_Standard_0"	1	0	0	0	0	1808	0	0	0	0	1	1808	1808	1808	60.12	60.12	1808	"1808"	1808	"1808"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"3"	"3"	"1"	"0"	"0"	1808	"1808"	1808	"1808"	"1808"	"1"	"1"	"1"	"1"	"Sample23_257"	1808	844	"circular_elem"	"1"	"Gold Standard"	70.0221238938053
"Gold_Standard_0"	1	0	0	0	0	1679	0	0	0	0	1	1679	1679	1679	61.23	61.23	1679	"1679"	1679	"1679"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"1"	"0"	"0"	1679	"1679"	1679	"1679"	"1679"	"1"	"1"	"1"	"1"	"Sample23_283"	1679	1422	"circular_elem"	"1"	"Gold Standard"	127.039904705182
"Gold_Standard_0"	1	0	0	0	0	1419	0	0	0	0	1	1419	1419	1419	62.02	62.02	1419	"1419"	1419	"1419"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"3"	"3"	"3"	"0"	"0"	1419	"1419"	1419	"1419"	"1419"	"1"	"1"	"1"	"1"	"Sample23_370"	1419	3208	"circular_elem"	"1"	"Gold Standard"	339.112050739958
"Gold_Standard_0"	1	0	0	0	0	1401	0	0	0	0	1	1401	1401	1401	41.4	41.4	1401	"1401"	1401	"1401"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"1"	"0"	"0"	1401	"1401"	1401	"1401"	"1401"	"1"	"1"	"1"	"1"	"Sample23_378"	1401	1480	"circular_elem"	"1"	"Gold Standard"	158.458244111349
"Gold_Standard_0"	1	1	0	0	0	6077	6077	0	0	0	1	6077	6077	6077	44.99	44.99	6077	"6077"	6077	"6077"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"8"	"8"	"6"	"0"	"0"	6077	"6077"	6077	"6077"	"6077"	"1"	"1"	"1"	"1"	"Sample23_4"	6077	58063	"circular_elem"	"1"	"Gold Standard"	1433.18249136087
"Gold_Standard_0"	1	0	0	0	0	1105	0	0	0	0	1	1105	1105	1105	58.73	58.73	1105	"1105"	1105	"1105"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"1"	"1"	"0"	"0"	"0"	1105	"1105"	1105	"1105"	"1105"	"1"	"1"	"1"	"1"	"Sample23_512"	1105	3850	"circular_elem"	"1"	"Gold Standard"	522.62443438914
"Gold_Standard_0"	1	0	0	0	0	1104	0	0	0	0	1	1104	1104	1104	39.49	39.49	1104	"1104"	1104	"1104"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"2"	"0"	"0"	1104	"1104"	1104	"1104"	"1104"	"1"	"1"	"1"	"1"	"Sample23_513"	1104	1906	"circular_elem"	"1"	"Gold Standard"	258.967391304348
"Gold_Standard_0"	1	0	0	0	0	3330	0	0	0	0	1	3330	3330	3330	59.7	59.7	3330	"3330"	3330	"3330"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"5"	"5"	"3"	"0"	"0"	3330	"3330"	3330	"3330"	"3330"	"1"	"1"	"1"	"1"	"Sample23_75"	3330	1682	"circular_elem"	"1"	"Gold Standard"	75.7657657657658
"Gold_Standard_0"	1	0	0	0	0	2364	0	0	0	0	1	2364	2364	2364	30.29	30.29	2364	"2364"	2364	"2364"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"1"	"0"	"0"	2364	"2364"	2364	"2364"	"2364"	"1"	"1"	"1"	"1"	"Sample24_109"	2364	535	"circular_elem"	"1"	"Gold Standard"	33.9467005076142
"Gold_Standard_0"	1	0	0	0	0	3691	0	0	0	0	1	3691	3691	3691	47.79	47.79	3691	"3691"	3691	"3691"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4"	"4"	"3"	"0"	"0"	3691	"3691"	3691	"3691"	"3691"	"1"	"1"	"1"	"1"	"Sample24_51"	3691	9289	"circular_elem"	"1"	"Gold Standard"	377.499322676781
"Gold_Standard_0"	1	0	0	0	0	3322	0	0	0	0	1	3322	3322	3322	35.19	35.19	3322	"3322"	3322	"3322"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"6"	"6"	"1"	"0"	"0"	3322	"3322"	3322	"3322"	"3322"	"1"	"1"	"1"	"1"	"Sample24_59"	3322	13115	"circular_elem"	"1"	"Gold Standard"	592.188440698375
"Gold_Standard_0"	1	0	0	0	0	3165	0	0	0	0	1	3165	3165	3165	50.11	50.11	3165	"3165"	3165	"3165"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4"	"4"	"2"	"0"	"0"	3165	"3165"	3165	"3165"	"3165"	"1"	"1"	"1"	"1"	"Sample24_63"	3165	12215	"circular_elem"	"1"	"Gold Standard"	578.909952606635
"Gold_Standard_0"	1	0	0	0	0	2972	0	0	0	0	1	2972	2972	2972	55.65	55.65	2972	"2972"	2972	"2972"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4"	"4"	"1"	"0"	"0"	2972	"2972"	2972	"2972"	"2972"	"1"	"1"	"1"	"1"	"Sample24_66"	2972	3142	"circular_elem"	"1"	"Gold Standard"	158.580080753701
"Gold_Standard_0"	1	0	0	0	0	2916	0	0	0	0	1	2916	2916	2916	43.93	43.93	2916	"2916"	2916	"2916"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4"	"4"	"2"	"0"	"0"	2916	"2916"	2916	"2916"	"2916"	"1"	"1"	"1"	"1"	"Sample24_68"	2916	52084	"circular_elem"	"1"	"Gold Standard"	2679.21810699588
"Gold_Standard_0"	1	0	0	0	0	2640	0	0	0	0	1	2640	2640	2640	58.07	58.07	2640	"2640"	2640	"2640"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"5"	"5"	"5"	"0"	"0"	2640	"2640"	2640	"2640"	"2640"	"1"	"1"	"1"	"1"	"Sample24_88"	2640	9420	"circular_elem"	"1"	"Gold Standard"	535.227272727273
"Gold_Standard_0"	1	0	0	0	0	2835	0	0	0	0	1	2835	2835	2835	62.29	62.29	2835	"2835"	2835	"2835"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"2"	"0"	"0"	2835	"2835"	2835	"2835"	"2835"	"1"	"1"	"1"	"1"	"Sample6_192"	2835	2257	"circular_elem"	"1"	"Gold Standard"	119.417989417989
"Gold_Standard_0"	1	0	0	0	0	2797	0	0	0	0	1	2797	2797	2797	47.05	47.05	2797	"2797"	2797	"2797"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4"	"4"	"1"	"0"	"0"	2797	"2797"	2797	"2797"	"2797"	"1"	"1"	"1"	"1"	"Sample6_199"	2797	634	"circular_elem"	"1"	"Gold Standard"	34.0007150518413
"Gold_Standard_0"	1	0	0	0	0	2778	0	0	0	0	1	2778	2778	2778	55.83	55.83	2778	"2778"	2778	"2778"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"5"	"5"	"1"	"0"	"0"	2778	"2778"	2778	"2778"	"2778"	"1"	"1"	"1"	"1"	"Sample6_203"	2778	3741	"circular_elem"	"1"	"Gold Standard"	201.997840172786
"Gold_Standard_0"	1	0	0	0	0	2620	0	0	0	0	1	2620	2620	2620	52.29	52.29	2620	"2620"	2620	"2620"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"3"	"3"	"3"	"0"	"0"	2620	"2620"	2620	"2620"	"2620"	"1"	"1"	"1"	"1"	"Sample6_235"	2620	27290	"circular_elem"	"1"	"Gold Standard"	1562.40458015267
"Gold_Standard_0"	1	0	0	0	0	2201	0	0	0	0	1	2201	2201	2201	55.79	55.79	2201	"2201"	2201	"2201"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"5"	"5"	"1"	"0"	"0"	2201	"2201"	2201	"2201"	"2201"	"1"	"1"	"1"	"1"	"Sample6_323"	2201	1259	"circular_elem"	"1"	"Gold Standard"	85.8019082235348
"Gold_Standard_0"	1	0	0	0	0	2035	0	0	0	0	1	2035	2035	2035	47.76	47.76	2035	"2035"	2035	"2035"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4"	"4"	"3"	"0"	"0"	2035	"2035"	2035	"2035"	"2035"	"1"	"1"	"1"	"1"	"Sample6_355"	2035	217	"circular_elem"	"1"	"Gold Standard"	15.995085995086
"Gold_Standard_0"	1	1	0	0	0	5064	5064	0	0	0	1	5064	5064	5064	45.36	45.36	5064	"5064"	5064	"5064"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"9"	"9"	"5"	"0"	"0"	5064	"5064"	5064	"5064"	"5064"	"1"	"1"	"1"	"1"	"Sample6_55"	5064	58051	"circular_elem"	"1"	"Gold Standard"	1719.52014218009
"Gold_Standard_0"	1	0	0	0	0	1364	0	0	0	0	1	1364	1364	1364	46.63	46.63	1364	"1364"	1364	"1364"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"2"	"0"	"0"	1364	"1364"	1364	"1364"	"1364"	"1"	"1"	"1"	"1"	"Sample6_617"	1364	468	"circular_elem"	"1"	"Gold Standard"	51.466275659824
"Gold_Standard_0"	1	0	0	0	0	1304	0	0	0	0	1	1304	1304	1304	51.61	51.61	1304	"1304"	1304	"1304"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"1"	"0"	"0"	1304	"1304"	1304	"1304"	"1304"	"1"	"1"	"1"	"1"	"Sample6_680"	1304	2168	"circular_elem"	"1"	"Gold Standard"	249.386503067485
"Gold_Standard_0"	1	0	0	0	0	4514	0	0	0	0	1	4514	4514	4514	40.96	40.96	4514	"4514"	4514	"4514"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"7"	"7"	"5"	"0"	"0"	4514	"4514"	4514	"4514"	"4514"	"1"	"1"	"1"	"1"	"Sample6_74"	4514	5432	"circular_elem"	"1"	"Gold Standard"	180.505095259194
"Gold_Standard_0"	1	0	0	0	0	1212	0	0	0	0	1	1212	1212	1212	55.53	55.53	1212	"1212"	1212	"1212"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"1"	"0"	"0"	1212	"1212"	1212	"1212"	"1212"	"1"	"1"	"1"	"1"	"Sample9_158"	1212	8732	"circular_elem"	"1"	"Gold Standard"	1080.69306930693
"Gold_Standard_0"	1	0	0	0	0	3484	0	0	0	0	1	3484	3484	3484	48.82	48.82	3484	"3484"	3484	"3484"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"4"	"4"	"3"	"0"	"0"	3484	"3484"	3484	"3484"	"3484"	"1"	"1"	"1"	"1"	"Sample9_16"	3484	346	"circular_elem"	"1"	"Gold Standard"	14.8966704936854
"Gold_Standard_0"	1	0	0	0	0	1168	0	0	0	0	1	1168	1168	1168	65.58	65.58	1168	"1168"	1168	"1168"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"1"	"0"	"0"	1168	"1168"	1168	"1168"	"1168"	"1"	"1"	"1"	"1"	"Sample9_165"	1168	925	"circular_elem"	"1"	"Gold Standard"	118.792808219178
"Gold_Standard_0"	1	0	0	0	0	3355	0	0	0	0	1	3355	3355	3355	53.77	53.77	3355	"3355"	3355	"3355"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"3"	"3"	"3"	"0"	"0"	3355	"3355"	3355	"3355"	"3355"	"1"	"1"	"1"	"1"	"Sample9_19"	3355	11870	"circular_elem"	"1"	"Gold Standard"	530.70044709389
"Gold_Standard_0"	1	0	0	0	0	1027	0	0	0	0	1	1027	1027	1027	53.94	53.94	1027	"1027"	1027	"1027"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"2"	"2"	"2"	"0"	"0"	1027	"1027"	1027	"1027"	"1027"	"1"	"1"	"1"	"1"	"Sample9_192"	1027	27707	"circular_elem"	"1"	"Gold Standard"	4046.78675754625
"Gold_Standard_0"	1	0	0	0	0	1026	0	0	0	0	1	1026	1026	1026	60.62	60.62	1026	"1026"	1026	"1026"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	NA	NA	NA	NA	NA	1026	"1026"	1026	"1026"	"1026"	"1"	"1"	"1"	"1"	"Sample9_193"	1026	342	"circular_elem"	"1"	"Gold Standard"	50
"Gold_Standard_0"	1	0	0	0	0	2074	0	0	0	0	1	2074	2074	2074	55.01	55.01	2074	"2074"	2074	"2074"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"1"	"1"	"1"	"0"	"0"	2074	"2074"	2074	"2074"	"2074"	"1"	"1"	"1"	"1"	"Sample9_66"	2074	44877	"circular_elem"	"1"	"Gold Standard"	3245.68466730955
"Gold_Standard_0"	1	0	0	0	0	4448	0	0	0	0	1	4448	4448	4448	43.59	43.59	4448	"4448"	4448	"4448"	1	"1"	1	"1"	0	0	0	0	"0 + 0 part"	0	100	1	0	0	0	"6"	"6"	"6"	"0"	"0"	4448	"4448"	4448	"4448"	"4448"	"1"	"1"	"1"	"1"	"Sample9_7"	4448	10874	"circular_elem"	"1"	"Gold Standard"	366.704136690647
"fervent_mayer_1"	405	64	31	27	24	6760079	6036001	5835132	5777199	5652564	598	731633	6900275	6680272	67.23	67.17	250178	"320110"	105028	"108854"	8	"7"	18	"16"	5	4	698369	212	"0 + 1 part"	80	98.263	1.051	4687.45	14.5	11.84	"7309"	"7310"	"6308"	"634"	"42"	681585	"224258"	237031	"54816"	"69070"	"9"	"8"	"24"	"21"	"1021_AP"	6680272	307430	"uniq"	"2"	"Minia k21-k91"	6.9030871796837
"fervent_mayer_1"	323	22	6	2	0	755358	215840	110025	57720	0	1182	29633	1325132	5681617	64.21	64.71	1216	NA	701	NA	239	NA	613	NA	4	4	22501	2	"0 + 0 part"	0	23.127	1.009	0.23	10.12	0.23	"2110"	"2110"	"1503"	"61"	"3"	29633	"1213"	0	"701"	NA	"241"	NA	"616"	NA	"1021_AQ"	5681617	989142	"strain"	"2"	"Minia k21-k91"	26.1142734541945
"fervent_mayer_1"	0	0	0	0	0	0	0	0	0	0	27	789	15178	5575767	63.1	64.8	535	NA	522	NA	13	NA	20	NA	0	0	0	0	"0 + 0 part"	0	0.272	1	0	39.53	0	"31"	"31"	"23"	"0"	"0"	789	"535"	0	"522"	NA	"13"	NA	"20"	NA	"1021_AS"	5575767	3824862	"strain"	"2"	"Minia k21-k91"	102.896928799213
"fervent_mayer_1"	637	0	0	0	0	811731	0	0	0	0	4624	3043	3483996	9222264	71.57	71.49	746	NA	604	NA	1728	NA	3034	NA	1	1	939	2	"0 + 1 part"	17	37.506	1.007	0	7.98	0.09	"6315"	"6315"	"4453"	"20"	"0"	3043	"746"	0	"604"	NA	"1728"	NA	"3034"	NA	"1021_C"	9222264	3870011	"strain"	"2"	"Minia k21-k91"	62.9456768966926
"fervent_mayer_1"	184	14	0	0	0	460258	93386	0	0	0	360	9177	577441	4398457	70.73	72.5	2280	NA	1157	NA	75	NA	159	NA	2	2	5048	0	"0 + 1 part"	121	12.968	1.012	0	4.03	0.18	"788"	"789"	"610"	"41"	"2"	9177	"2244"	0	"1143"	NA	"76"	NA	"160"	NA	"1021_P"	4398457	1065606	"strain"	"2"	"Minia k21-k91"	36.3402211275454
"fervent_mayer_1"	0	0	0	0	0	0	0	0	0	0	4	724	2579	2161335	33.11	30.36	661	NA	633	NA	2	NA	3	NA	0	0	0	0	"0 + 0 part"	0	0.119	1	0	0	0	"4"	"4"	"4"	"0"	"0"	724	"661"	0	"633"	NA	"2"	NA	"3"	NA	"1030716"	2161335	15496	"uniq"	"2"	"Minia k21-k91"	1.07544642547315
"fervent_mayer_1"	31	2	0	0	0	68535	12210	0	0	0	70	6337	92637	2576980	48.36	49.1	1806	NA	998	NA	15	NA	32	NA	0	0	0	0	"0 + 0 part"	0	3.551	1.012	0	4.37	0	"152"	"152"	"113"	"3"	"0"	6337	"1806"	0	"998"	NA	"15"	NA	"32"	NA	"1030728"	2576980	714970	"strain"	"2"	"Minia k21-k91"	41.6167374213226
"fervent_mayer_1"	72	28	23	20	17	3629894	3529700	3495988	3447101	3344155	85	434364	3639250	3663781	43.72	43.72	255439	"221275"	134776	"134776"	6	"7"	12	"12"	3	2	571621	6	"0 + 2 part"	238	99.12	1.002	139.64	1.87	1.32	"3288"	"3288"	"2968"	"518"	"41"	323520	"221275"	221275	"127076"	"127076"	"7"	"7"	"13"	"13"	"1030737"	3663781	238969	"uniq"	"2"	"Minia k21-k91"	9.78370432075498
"fervent_mayer_1"	240	177	114	31	6	3139499	2972234	2504017	1205697	391600	260	80506	3153158	3261014	52.11	52.15	19593	"18358"	11152	"10598"	48	"51"	101	"109"	0	0	0	0	"0 + 0 part"	0	96.647	1	0	1.11	0.03	"2851"	"2851"	"2568"	"453"	"44"	80506	"19593"	18358	"11152"	"10598"	"48"	"51"	"101"	"109"	"1030740"	3261014	5775453	"uniq"	"2"	"Minia k21-k91"	265.659071074212
"fervent_mayer_1"	2	0	0	0	0	2322	0	0	0	0	5	1303	4392	3190397	37.11	41.71	1019	NA	704	NA	2	NA	4	NA	0	0	0	0	"0 + 0 part"	0	0.138	1	0	0	0	"9"	"9"	"4"	"0"	"0"	1303	"1019"	0	"704"	NA	"2"	NA	"4"	NA	"1030776"	3190397	20483	"uniq"	"2"	"Minia k21-k91"	0.963030619700307
"fervent_mayer_1"	141	68	50	29	13	2353029	2172986	2051788	1702604	1144406	152	151475	2361074	2399538	35.58	35.62	49151	"44986"	22916	"21767"	14	"15"	32	"34"	2	2	42735	2	"0 + 0 part"	0	98.316	1.001	31.55	1.87	2.54	"2415"	"2417"	"2080"	"243"	"14"	151295	"39348"	39348	"16494"	"15962"	"16"	"16"	"39"	"40"	"1030782"	2399538	140200	"uniq"	"2"	"Minia k21-k91"	8.76418710601791
"fervent_mayer_1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	"1030800"	2385602	1685	"uniq"	"2"	"Minia k21-k91"	0.105948100311787
"fervent_mayer_1"	1453	44	0	0	0	3072497	259538	0	0	0	2345	9912	3728061	4089718	67.84	67.74	1987	"1830"	1202	"1004"	604	"699"	1202	"1448"	4	4	10844	0	"0 + 1 part"	40	89.573	1.018	0	4.26	0.03	"5297"	"5297"	"4064"	"213"	"9"	9912	"1980"	1827	"1202"	"1003"	"605"	"700"	"1204"	"1451"	"1030806"	4089718	1201056	"uniq"	"2"	"Minia k21-k91"	44.0515458523057
"fervent_mayer_1"	0	0	0	0	0	0	0	0	0	0	39	837	22483	3985519	60.87	61.41	566	NA	529	NA	18	NA	29	NA	0	0	0	0	"0 + 1 part"	41	0.563	1	0	22.28	0	"52"	"52"	"30"	"0"	"0"	837	"566"	0	"529"	NA	"18"	NA	"29"	NA	"1030812"	3985519	38838	"uniq"	"2"	"Minia k21-k91"	1.46171678017342
"fervent_mayer_1"	272	0	0	0	0	377928	0	0	0	0	1091	3463	952928	1534155	35.94	35.98	894	"637"	679	NA	376	"761"	682	NA	1	1	1540	0	"0 + 0 part"	0	61.243	1.014	0	3.62	0	"1748"	"1748"	"1223"	"11"	"0"	3463	"894"	636	"679"	NA	"376"	"762"	"682"	NA	"1030869"	1534155	614078	"uniq"	"2"	"Minia k21-k91"	60.0406738562922
"fervent_mayer_1"	44	19	16	15	14	3291610	3225197	3208391	3186191	3138878	60	487248	3302566	3304362	69.99	69.97	242843	"242843"	160991	"160991"	5	"5"	9	"9"	2	2	594139	18	"0 + 0 part"	0	99.345	1.006	513.9	14.07	4.97	"3274"	"3275"	"2912"	"439"	"38"	472219	"222525"	222525	"136259"	"136259"	"5"	"5"	"10"	"10"	"1030881"	3304362	205056	"uniq"	"2"	"Minia k21-k91"	9.30842322965825
"fervent_mayer_1"	388	198	90	16	1	2901626	2414031	1644740	520124	55071	461	55071	2954173	2985908	64.56	64.53	11814	"11744"	6078	"5990"	75	"77"	163	"167"	3	3	31172	0	"0 + 0 part"	0	98.442	1.005	0	2.52	0.14	"3248"	"3248"	"2750"	"355"	"25"	55071	"11814"	11744	"6078"	"5990"	"75"	"77"	"163"	"167"	"1030896"	2985908	5573028	"uniq"	"2"	"Minia k21-k91"	279.96649595366
"fervent_mayer_1"	1113	18	0	0	0	2174850	105812	0	0	0	1926	7186	2767564	3112020	64.57	64.48	1736	"1555"	1090	"877"	515	"620"	1019	"1283"	2	2	4557	0	"0 + 0 part"	0	87.43	1.017	0	2.17	0.04	"4000"	"4000"	"3023"	"143"	"4"	7186	"1735"	1555	"1090"	"875"	"516"	"621"	"1020"	"1284"	"1030905"	3112020	964204	"uniq"	"2"	"Minia k21-k91"	46.4748298532786
"fervent_mayer_1"	123	47	31	28	24	4608651	4407637	4311772	4253774	4086595	151	553137	4627944	4635841	45.14	45.15	176347	"176347"	117371	"117371"	9	"9"	17	"17"	7	7	921944	45	"0 + 1 part"	28	98.961	1.009	794.22	3.36	6.52	"4236"	"4236"	"3748"	"591"	"48"	508442	"143277"	143277	"86205"	"86205"	"10"	"10"	"19"	"19"	"1030968"	4635841	246784	"uniq"	"2"	"Minia k21-k91"	7.98508835829357
"fervent_mayer_1"	385	51	16	14	12	2535624	1795272	1573456	1538130	1468548	513	251100	2630157	2553407	32.11	32.12	77765	"83383"	3638	"4019"	10	"9"	93	"78"	6	6	470310	62	"0 + 0 part"	0	96.756	1.065	5863.15	7.12	8.58	"2539"	"2539"	"2148"	"226"	"22"	222976	"40448"	40448	"2694"	"3045"	"14"	"14"	"145"	"125"	"1035906"	2553407	107740	"uniq"	"2"	"Minia k21-k91"	6.3291907635563
"fervent_mayer_1"	8	4	4	1	0	89766	84714	84714	36129	0	66	36129	125056	2814227	33.18	33.35	14928	NA	791	NA	3	NA	13	NA	0	0	0	0	"0 + 0 part"	0	4.442	1	0	12	0	"166"	"166"	"130"	"12"	"1"	36129	"14928"	0	"791"	NA	"3"	NA	"13"	NA	"1035921"	2814227	359457	"strain"	"2"	"Minia k21-k91"	19.1592753534097
"fervent_mayer_1"	13	5	5	5	4	1576874	1565639	1565639	1565639	1534838	20	603230	1581839	1600172	31.23	31.26	529658	"529658"	241772	"241772"	2	"2"	3	"3"	3	3	1293066	2	"0 + 0 part"	0	98.537	1.003	307.62	0.95	1.65	"1451"	"1451"	"1316"	"224"	"29"	420776	"404102"	404102	"197342"	"197342"	"2"	"2"	"4"	"4"	"1035939"	1600172	158227	"uniq"	"2"	"Minia k21-k91"	14.8321867899201
"fervent_mayer_1"	91	64	57	38	16	2689593	2621906	2575624	2238945	1362832	99	158359	2694878	2736206	50.67	50.69	50180	"49789"	37984	"35342"	16	"17"	31	"32"	4	4	184485	1	"0 + 0 part"	0	98.426	1.001	60.37	1.04	0.97	"2570"	"2571"	"2196"	"373"	"45"	158359	"46927"	46927	"35342"	"32459"	"17"	"17"	"32"	"33"	"1035951"	2736206	256063	"uniq"	"2"	"Minia k21-k91"	14.0374847507827
"fervent_mayer_1"	78	35	27	25	18	3593216	3498704	3447157	3406941	3157511	91	395968	3602627	3611124	40.48	40.5	200663	"200663"	117357	"117357"	7	"7"	12	"12"	3	3	415606	24	"0 + 3 part"	83	99.132	1.006	608.61	1.56	6.29	"3292"	"3292"	"2876"	"465"	"72"	393090	"181894"	181894	"113109"	"113109"	"7"	"7"	"13"	"13"	"1035969"	3611124	538160	"uniq"	"2"	"Minia k21-k91"	22.3542586740306
"fervent_mayer_1"	42	23	22	19	13	2026244	1977541	1972259	1913194	1693390	48	280317	2030503	2046131	45.32	45.33	132342	"116628"	71456	"71456"	5	"6"	11	"11"	1	1	82795	1	"0 + 0 part"	0	99.075	1.002	112.73	1.23	1.68	"1687"	"1687"	"1521"	"304"	"38"	258786	"112345"	112345	"53872"	"53872"	"6"	"6"	"12"	"12"	"1035981"	2046131	132229	"uniq"	"2"	"Minia k21-k91"	9.69358755622196
"fervent_mayer_1"	53	27	25	22	15	2773853	2715701	2704462	2650374	2372045	61	444075	2780161	2791217	28.54	28.57	152240	"152240"	94208	"94208"	6	"6"	12	"12"	1	1	153739	4	"0 + 0 part"	0	99.233	1.004	328.72	1.52	3.25	"2728"	"2730"	"2389"	"345"	"25"	344020	"120503"	120503	"50342"	"50342"	"8"	"8"	"16"	"16"	"1035993"	2791217	168845	"uniq"	"2"	"Minia k21-k91"	9.07373020442338
